what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568469129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568469239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568474161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568474176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568478052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568478083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383568484099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568487349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568507350
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383568508647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568511318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568520725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568525319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568534898
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568535273
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568535319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383568537570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568543507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568543601
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568552117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568552211
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568560664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568560805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568564508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568564571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568567118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568567211
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568571086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568571133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383568574758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568575821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568580759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568581087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568597088
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383568601322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568606135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568618448
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568618807
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568618838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568624745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568625620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568625917
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568631339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383568633495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383568635683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568644683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568646824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383568651871
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383568653777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568657090
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568658684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568658731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1383568658731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568662621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568694341
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568694779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568704060
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383568711373
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568713514
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568713530
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568722764
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568722764
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383568724624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568727358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568765719
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568766078
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568766094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568767391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568770938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383568777626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568790017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568793986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568796455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568796517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568798642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568800377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568806268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568806361
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383568830128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568838785
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568840660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568843425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568843535
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383568848675
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383568849988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568854098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568854160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568856473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568856551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383568858332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568862551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568863739
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383568864020
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1383568864614
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1383568864629
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1383568864895
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1383568864957
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1383568865004
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1383585807025
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1383585807025
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1383585807025
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1383585807025
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1383585807025
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1383585807025
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1383585807025
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1383585807025
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1383585807025
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1383585807040
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1383585807040
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1383585807040
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1383585807040
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1383585807040
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1383585807040
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1383585807040
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1383585807040
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1383585807040
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1383585807040
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1383585807040
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1383585807040
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1383585807040
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1383585807040
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1383585807040
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1383585807040
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1383585807040
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1383585807040
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1383585807040
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1383585807040
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1383585807040
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1383585807040
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1383585807040
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1383585807056
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1383585807056
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1383585807056
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1383585807056
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1383585807056
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1383585807056
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1383585807056
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1383585807056
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1383585807056
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1383585807056
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1383585807056
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1383585807056
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1383585807056
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1383585807056
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1383585807056
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1383585807056
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1383585807056
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1383585807056
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1383585807056
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1383585807056
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1383585807056
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1383585807056
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1383585807056
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1383585807056
started,bundle,org.eclipse.jst.common.frameworks,1.1.403.v201012160000,"org.eclipse.jst.common.frameworks",1383585807056
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1383585807056
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1383585807056
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1383585807071
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1383585807071
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1383585807071
started,bundle,org.eclipse.jst.j2ee.web,1.1.404.v201102030400,"org.eclipse.jst.j2ee.web",1383585807071
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1383585807071
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1383585807071
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1383585807071
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1383585807071
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.203.v20110201,"org.eclipse.jst.server.tomcat.core",1383585807071
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1383585807071
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1383585807071
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1383585807071
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1383585807071
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1383585807071
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1383585807071
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1383585807071
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1383585807071
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1383585807071
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1383585807071
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1383585807071
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1383585807071
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1383585807087
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1383585807103
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1383585807103
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1383585807103
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1383585807103
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1383585807103
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1383585807103
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1383585807103
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1383585807103
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1383585807103
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1383585807103
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1383585807103
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1383585807103
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1383585807103
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1383585807103
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1383585807103
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1383585807103
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1383585807103
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1383585807103
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1383585807103
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1383585807103
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1383585807103
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1383585807103
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1383585807103
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1383585807118
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1383585807118
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1383585807118
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1383585807118
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1383585807118
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1383585807118
started,bundle,com.collabnet.subversion.merge,2.2.3,"com.collabnet.subversion.merge",1383585807118
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1383585807118
started,bundle,org.tigris.subversion.subclipse.core,1.6.17,"org.tigris.subversion.subclipse.core",1383585807118
started,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1383585807118
os,sysinfo,,,"win32",1383585807118
arch,sysinfo,,,"x86",1383585807118
ws,sysinfo,,,"win32",1383585807118
locale,sysinfo,,,"pt_BR",1383585807118
processors,sysinfo,,,"4",1383585807118
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1383585807118
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1383585807118
java.specification.name,sysinfo,,,"Java Platform API Specification",1383585807118
java.specification.vendor,sysinfo,,,"Oracle Corporation",1383585807118
java.specification.version,sysinfo,,,"1.7",1383585807118
java.vendor,sysinfo,,,"Oracle Corporation",1383585807118
java.version,sysinfo,,,"1.7.0_45",1383585807118
java.vm.info,sysinfo,,,"mixed mode, sharing",1383585807118
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1383585807118
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1383585807118
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1383585807118
java.vm.specification.version,sysinfo,,,"1.7",1383585807118
java.vm.vendor,sysinfo,,,"Oracle Corporation",1383585807118
java.vm.version,sysinfo,,,"24.45-b08",1383585807118
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1383585807321
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1383585807321
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1383585807337
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1383585807540
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1383585807634
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1383585807634
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1383585807650
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1383585808650
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.10.2.20100623-1649,"org.maven.ide.eclipse.maven_model_edit",1383585808681
started,bundle,org.maven.ide.eclipse,0.10.2.20100623-1649,"org.maven.ide.eclipse",1383585809212
started,bundle,org.maven.ide.eclipse.jdt,0.10.2.20100623-1649,"org.maven.ide.eclipse.jdt",1383585809228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383585809540
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1383585809696
